method,prompt_count,next_token_top1_uplift_vs_full_live,cont_match_h1_uplift_vs_full,cont_match_h4_uplift_vs_full,cont_match_h8_uplift_vs_full,cont_match_h16_uplift_vs_full,split,experiment_site,site_layer,no_patch_h1,same_site_oracle_h1,stride_oracle_h1,delta_h1,closure_same_site_h1,closure_stride_h1,no_patch_h4,same_site_oracle_h4,stride_oracle_h4,delta_h4,closure_same_site_h4,closure_stride_h4,no_patch_h8,same_site_oracle_h8,stride_oracle_h8,delta_h8,closure_same_site_h8,closure_stride_h8,no_patch_h16,same_site_oracle_h16,stride_oracle_h16,delta_h16,closure_same_site_h16,closure_stride_h16
low_to_full_no_patch,40,0.0,0.0,0.00625,0.009375,0.0125,pilot,layer16,16,0.0,0.0,0.2,0.0,0.0,0.0,0.00625,0.0125,0.08125,0.0,0.0,0.0,0.009375,0.021875,0.046875,0.0,0.0,0.0,0.0125,0.0171875,0.03125,0.0,0.0,0.0
identity,40,0.0,0.0,0.00625,0.009375,0.0125,pilot,layer16,16,0.0,0.0,0.2,0.0,0.0,0.0,0.00625,0.0125,0.08125,0.0,0.0,0.0,0.009375,0.021875,0.046875,0.0,0.0,0.0,0.0125,0.0171875,0.03125,0.0,0.0,0.0
broad_mlp,40,0.0,0.0,0.0125,0.021875,0.0171875,pilot,layer16,16,0.0,0.0,0.2,0.0,0.0,0.0,0.00625,0.0125,0.08125,0.00625,1.0,0.08333333333333334,0.009375,0.021875,0.046875,0.012499999999999999,1.0,0.3333333333333333,0.0125,0.0171875,0.03125,0.004687500000000001,1.0,0.25000000000000006
targeted_mlp,40,0.0,0.0,0.00625,0.009375,0.0109375,pilot,layer16,16,0.0,0.0,0.2,0.0,0.0,0.0,0.00625,0.0125,0.08125,0.0,0.0,0.0,0.009375,0.021875,0.046875,0.0,0.0,0.0,0.0125,0.0171875,0.03125,-0.0015625000000000014,-0.3333333333333336,-0.08333333333333341
oracle_layer16,40,0.0,0.0,0.0125,0.021875,0.0171875,pilot,layer16,16,0.0,0.0,0.2,0.0,0.0,0.0,0.00625,0.0125,0.08125,0.00625,1.0,0.08333333333333334,0.009375,0.021875,0.046875,0.012499999999999999,1.0,0.3333333333333333,0.0125,0.0171875,0.03125,0.004687500000000001,1.0,0.25000000000000006
oracle_layer34,40,0.25,0.25,0.06875,0.0375,0.028125,pilot,layer16,16,0.0,0.0,0.2,0.25,0.0,1.25,0.00625,0.0125,0.08125,0.0625,10.0,0.8333333333333334,0.009375,0.021875,0.046875,0.028124999999999997,2.25,0.75,0.0125,0.0171875,0.03125,0.015625,3.333333333333333,0.8333333333333334
oracle_stride,40,0.2,0.2,0.08125,0.046875,0.03125,pilot,layer16,16,0.0,0.0,0.2,0.2,0.0,1.0,0.00625,0.0125,0.08125,0.075,11.999999999999998,1.0,0.009375,0.021875,0.046875,0.0375,3.0,1.0,0.0125,0.0171875,0.03125,0.01875,3.999999999999999,1.0
low_to_full_no_patch,40,0.0,0.0,0.00625,0.009375,0.0125,pilot,layer34,34,0.0,0.25,0.2,0.0,0.0,0.0,0.00625,0.06875,0.08125,0.0,0.0,0.0,0.009375,0.0375,0.046875,0.0,0.0,0.0,0.0125,0.028125,0.03125,0.0,0.0,0.0
identity,40,0.0,0.0,0.00625,0.009375,0.0125,pilot,layer34,34,0.0,0.25,0.2,0.0,0.0,0.0,0.00625,0.06875,0.08125,0.0,0.0,0.0,0.009375,0.0375,0.046875,0.0,0.0,0.0,0.0125,0.028125,0.03125,0.0,0.0,0.0
broad_mlp,40,0.0,0.0,0.00625,0.009375,0.0109375,pilot,layer34,34,0.0,0.25,0.2,0.0,0.0,0.0,0.00625,0.06875,0.08125,0.0,0.0,0.0,0.009375,0.0375,0.046875,0.0,0.0,0.0,0.0125,0.028125,0.03125,-0.0015625000000000014,-0.10000000000000009,-0.08333333333333341
targeted_mlp,40,0.825,0.825,0.2125,0.115625,0.0671875,pilot,layer34,34,0.0,0.25,0.2,0.825,3.3,4.124999999999999,0.00625,0.06875,0.08125,0.20625,3.3,2.75,0.009375,0.0375,0.046875,0.10625000000000001,3.7777777777777786,2.833333333333334,0.0125,0.028125,0.03125,0.0546875,3.5,2.916666666666667
oracle_layer16,40,0.0,0.0,0.0125,0.021875,0.0171875,pilot,layer34,34,0.0,0.25,0.2,0.0,0.0,0.0,0.00625,0.06875,0.08125,0.00625,0.1,0.08333333333333334,0.009375,0.0375,0.046875,0.012499999999999999,0.4444444444444445,0.3333333333333333,0.0125,0.028125,0.03125,0.004687500000000001,0.30000000000000004,0.25000000000000006
oracle_layer34,40,0.25,0.25,0.06875,0.0375,0.028125,pilot,layer34,34,0.0,0.25,0.2,0.25,1.0,1.25,0.00625,0.06875,0.08125,0.0625,1.0,0.8333333333333334,0.009375,0.0375,0.046875,0.028124999999999997,1.0,0.75,0.0125,0.028125,0.03125,0.015625,1.0,0.8333333333333334
oracle_stride,40,0.2,0.2,0.08125,0.046875,0.03125,pilot,layer34,34,0.0,0.25,0.2,0.2,0.8,1.0,0.00625,0.06875,0.08125,0.075,1.2,1.0,0.009375,0.0375,0.046875,0.0375,1.3333333333333335,1.0,0.0125,0.028125,0.03125,0.01875,1.2,1.0
low_to_full_no_patch,10,0.0,0.0,0.0,0.0,0.00625,heldout,layer16,16,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.00625,0.0,0.025,0.0,-0.0,0.0
identity,10,0.0,0.0,0.0,0.0,0.00625,heldout,layer16,16,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.00625,0.0,0.025,0.0,-0.0,0.0
broad_mlp,10,0.0,0.0,0.0,0.0125,0.0125,heldout,layer16,16,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.05,0.0125,0.0,0.25,0.00625,0.0,0.025,0.00625,-1.0,0.3333333333333333
targeted_mlp,10,0.0,0.0,0.0,0.0,0.0,heldout,layer16,16,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.00625,0.0,0.025,-0.00625,1.0,-0.3333333333333333
oracle_layer16,10,0.0,0.0,0.0,0.0,0.0,heldout,layer16,16,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.00625,0.0,0.025,-0.00625,1.0,-0.3333333333333333
oracle_layer34,10,0.4,0.4,0.1,0.05,0.03125,heldout,layer16,16,0.0,0.0,0.3,0.4,0.0,1.3333333333333335,0.0,0.0,0.075,0.1,0.0,1.3333333333333335,0.0,0.0,0.05,0.05,0.0,1.0,0.00625,0.0,0.025,0.025,-4.0,1.3333333333333333
oracle_stride,10,0.3,0.3,0.075,0.05,0.025,heldout,layer16,16,0.0,0.0,0.3,0.3,0.0,1.0,0.0,0.0,0.075,0.075,0.0,1.0,0.0,0.0,0.05,0.05,0.0,1.0,0.00625,0.0,0.025,0.018750000000000003,-3.0000000000000004,1.0
low_to_full_no_patch,10,0.0,0.0,0.0,0.0,0.00625,heldout,layer34,34,0.0,0.4,0.3,0.0,0.0,0.0,0.0,0.1,0.075,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.00625,0.03125,0.025,0.0,0.0,0.0
identity,10,0.0,0.0,0.0,0.0,0.00625,heldout,layer34,34,0.0,0.4,0.3,0.0,0.0,0.0,0.0,0.1,0.075,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.00625,0.03125,0.025,0.0,0.0,0.0
broad_mlp,10,0.1,0.1,0.025,0.0125,0.0125,heldout,layer34,34,0.0,0.4,0.3,0.1,0.25,0.33333333333333337,0.0,0.1,0.075,0.025,0.25,0.33333333333333337,0.0,0.05,0.05,0.0125,0.25,0.25,0.00625,0.03125,0.025,0.00625,0.25,0.3333333333333333
targeted_mlp,10,0.7,0.7,0.175,0.1,0.05625,heldout,layer34,34,0.0,0.4,0.3,0.7,1.7499999999999998,2.3333333333333335,0.0,0.1,0.075,0.175,1.7499999999999998,2.3333333333333335,0.0,0.05,0.05,0.1,2.0,2.0,0.00625,0.03125,0.025,0.05,2.0,2.6666666666666665
oracle_layer16,10,0.0,0.0,0.0,0.0,0.0,heldout,layer34,34,0.0,0.4,0.3,0.0,0.0,0.0,0.0,0.1,0.075,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.00625,0.03125,0.025,-0.00625,-0.25,-0.3333333333333333
oracle_layer34,10,0.4,0.4,0.1,0.05,0.03125,heldout,layer34,34,0.0,0.4,0.3,0.4,1.0,1.3333333333333335,0.0,0.1,0.075,0.1,1.0,1.3333333333333335,0.0,0.05,0.05,0.05,1.0,1.0,0.00625,0.03125,0.025,0.025,1.0,1.3333333333333333
oracle_stride,10,0.3,0.3,0.075,0.05,0.025,heldout,layer34,34,0.0,0.4,0.3,0.3,0.7499999999999999,1.0,0.0,0.1,0.075,0.075,0.7499999999999999,1.0,0.0,0.05,0.05,0.05,1.0,1.0,0.00625,0.03125,0.025,0.018750000000000003,0.7500000000000001,1.0
