prompt_idx,low_prefill_ms,full_restart_ms,handoff_resume_ms,pipeline_low_plus_handoff_ms,uplift_match_h16,low_match_h16
1,807.3188730049878,3238.219195016427,3381.760245974874,4189.079118979862,0.0625,0.0
2,284.04010701342486,3345.7129320013337,3922.193992009852,4206.234099023277,0.0625,0.0
3,282.44998399168253,3208.010228991043,3242.8513749910053,3525.301358982688,0.125,0.0
4,259.80291099403985,3137.868694990175,3153.34868899663,3413.1515999906696,0.0625,0.0
5,300.27823001728393,3220.5783340032212,3533.1191240111366,3833.3973540284205,0.0625,0.0
6,382.0799899986014,3473.1757350091357,3344.9495529930573,3727.0295429916587,0.0625,0.0
7,291.46951300208457,3041.1478570022155,3029.7128279926255,3321.18234099471,0.0625,0.0
8,285.8438999974169,3043.790744006401,3021.4372519985773,3307.281151995994,0.0625,0.0
9,264.8546590062324,2939.0752959880047,2939.9144490016624,3204.769108007895,0.1875,0.0
10,251.01140199694782,3188.0340759817045,3218.5017930169124,3469.5131950138602,0.0625,0.0
11,286.0455330228433,3309.1836239909753,3259.5451890083496,3545.590722031193,0.0625,0.0
12,267.4423510034103,3199.5831730018836,3299.6216639876366,3567.064014991047,0.0,0.0625
13,274.8210589925293,3216.273098019883,3183.351343002869,3458.172401995398,0.125,0.1875
14,289.8735269845929,3203.264134004712,3216.3249510049354,3506.1984779895283,0.0625,0.0
15,256.3323120120913,3131.4974400156643,3167.1778300078586,3423.51014201995,0.125,0.0
16,263.1211779953446,3417.3079449974466,3352.945610997267,3616.0667889926117,0.0625,0.0
17,267.3053430044092,3621.4292160002515,3467.6979600044433,3735.0033030088525,0.0625,0.0
18,243.60664299456403,3080.1168979960494,3018.4105850057676,3262.0172280003317,0.0625,0.0625
19,258.5394849884324,2986.260425997898,2965.713661018526,3224.2531460069586,0.0,0.0
20,243.75509700621478,2910.658679000335,2936.470152984839,3180.2252499910537,0.0625,0.0
21,321.146228001453,3248.806494026212,3291.6092700033914,3612.7554980048444,0.0,0.0
22,290.9287830116227,3228.800830023829,3353.742246021284,3644.6710290329065,0.0625,0.0
23,295.14528601430357,3617.747142998269,3638.3044550020713,3933.449741016375,0.0625,0.125
24,289.56813301192597,3554.462973988848,3510.48500102479,3800.053134036716,0.125,0.1875
25,269.1967040009331,3155.816826998489,3268.1494590069633,3537.3461630078964,0.125,0.0
26,262.82909500878304,3197.044617991196,3228.4266570059117,3491.2557520146947,0.0625,0.0
27,347.1120879985392,3355.060580011923,3335.0231100048404,3682.1351980033796,0.0625,0.125
28,302.44086697348393,3352.174670988461,3313.0499139952008,3615.4907809686847,0.0625,0.0
29,268.4232460160274,3016.020473995013,3055.782712006476,3324.205958022503,0.0625,0.0
30,243.34042699774727,2921.6381500009447,2934.731496992754,3178.071923990501,0.0625,0.125
31,280.4187159927096,2959.9967079993803,2979.4495250098407,3259.8682410025503,0.0625,0.0625
32,242.27417900692672,2898.3419539872557,2921.5694539889228,3163.8436329958495,0.0625,0.0
33,280.8894909976516,3152.717777004,3210.7293370063417,3491.6188280039933,0.0,0.0
34,280.0511460227426,3178.263228997821,3226.5900599886663,3506.641206011409,0.1875,0.0
35,278.7409249867778,3187.016223993851,3198.302144999616,3477.0430699863937,0.1875,0.0
36,349.24414099077694,3924.571490002563,3473.680298018735,3822.924439009512,0.125,0.0
37,291.15535199525766,3248.469507001573,3497.950997989392,3789.1063499846496,0.0625,0.0
38,281.51397200417705,3458.747641008813,3615.886708983453,3897.40068098763,0.125,0.0
39,303.83976199664176,3243.9345169987064,3280.929498025216,3584.769260021858,0.0625,0.0625
40,268.39513500453904,3185.9499919810332,3141.511085006641,3409.9062200111803,0.0,0.0
41,272.84250099910423,2970.1190310006496,3061.399134021485,3334.2416350205895,0.0625,0.0625
42,270.60563801205717,3076.3800640124828,2990.457278996473,3261.0629170085303,0.0625,0.0
43,276.15072097978555,2956.4726559910923,2966.223692987114,3242.3744139668997,0.0625,0.0
44,230.83892901195213,2881.3875949999783,2895.6793950055726,3126.5183240175247,0.0625,0.0
45,236.49842900340445,2887.5141100143082,2890.2231179818045,3126.721546985209,0.0625,0.0625
46,238.52478901972063,2916.92066701944,2889.87869702396,3128.4034860436805,0.0625,0.0
47,243.2837859960273,2905.7531600119546,2903.748490003636,3147.0322759996634,0.0625,0.0
48,254.9278869992122,2908.7796170206275,2913.588761992287,3168.516648991499,0.25,0.0625
49,259.81749000493437,2946.6357909841463,3183.5308769950643,3443.3483669999987,0.0625,0.0
50,286.23817799962126,3192.311952007003,3195.964462007396,3482.202640007017,0.0625,0.0
51,270.38986299885437,3650.0258460000623,3646.244489005767,3916.634352004621,0.0625,0.0
52,280.4690309858415,3197.6542880001944,3744.7331929870415,4025.202223972883,0.0625,0.0
53,274.4829999865033,3368.0049090180546,3193.656365998322,3468.1393659848254,0.0625,0.125
54,301.4706209942233,3247.734863020014,3274.231787014287,3575.7024080085102,0.0625,0.0
55,273.6882930039428,3298.633044003509,3157.0548189920373,3430.74311199598,0.0625,0.0
56,264.2476659966633,3164.7860160155687,3183.340038987808,3447.587704984471,0.0625,0.0
57,244.681882992154,3177.111334982328,3143.517611984862,3388.199494977016,0.0,0.0
58,256.3620120054111,3012.2574169945437,2977.505018992815,3233.8670309982263,0.0625,0.0
59,277.2590050008148,2984.406150993891,2936.24336499488,3213.5023699956946,0.0625,0.125
60,242.8421569929924,2959.1005289985333,3148.8980959984474,3391.74025299144,0.0625,0.0625
61,274.96334398165345,3155.7036110025365,3225.973343010992,3500.9366869926453,0.1875,0.0625
62,275.7968489895575,3540.222287992947,3196.7744270223193,3472.5712760118768,0.0,0.0
63,300.54756699246354,3376.7557490209583,3317.979260988068,3618.5268279805314,0.0625,0.0
64,354.48794899275526,3494.3319000012707,3345.5915010126773,3700.0794500054326,0.0625,0.0
65,261.9862229912542,3241.100892977556,3742.328330001328,4004.3145529925823,0.0625,0.125
66,273.03392099565826,3559.6849160210695,3814.259699982358,4087.2936209780164,0.0625,0.0625
67,284.5761649950873,3218.9247750211507,3218.251744983718,3502.827909978805,0.125,0.0
68,268.0127109924797,3105.7223590032663,3029.6131200157106,3297.6258310081903,0.0625,0.0625
69,254.5733239967376,3042.759975971421,3069.21104202047,3323.7843660172075,0.0625,0.0
70,270.63434198498726,2960.300417995313,2965.413494006498,3236.047835991485,0.0625,0.0
71,261.70497000566684,2959.602528018877,3026.045314996736,3287.750285002403,0.0625,0.0
72,279.83065697480924,2944.5535079867113,2979.7544020111673,3259.5850589859765,0.0625,0.0
73,241.9155029929243,2919.2767450003885,3167.676434008172,3409.591937001096,0.0625,0.0625
74,275.3842899983283,3269.7290219948627,3198.7535009975545,3474.137790995883,0.0625,0.0
75,350.9525319968816,3355.4480799939483,3188.263485004427,3539.2160170013085,0.125,0.0
76,266.3015720027033,3203.785577992676,3241.339981002966,3507.6415530056693,0.0625,0.0
77,298.9767820108682,3466.270862991223,3488.5192749788985,3787.4960569897667,0.0625,0.0
78,260.0352790032048,3191.1698739859276,3228.3206089923624,3488.355887995567,0.0625,0.0625
79,267.95746199786663,3197.950720001245,3176.783663977403,3444.74112597527,0.0625,0.0
80,279.2138339718804,3409.364337014267,3647.435372986365,3926.6492069582455,0.1875,0.125
