method,layer,horizon,match_uplift_vs_full,match_low_to_full_no_patch,match_low_to_full_cached,delta_over_low_to_full_no_patch
identity,0,1,0.0,0.0,0.0,0.0
identity,0,4,0.00625,0.00625,0.01875,0.0
identity,0,8,0.009375,0.009375,0.021875,0.0
identity,0,16,0.0125,0.0125,0.0171875,0.0
identity,4,1,0.0,0.0,0.0,0.0
identity,4,4,0.00625,0.00625,0.01875,0.0
identity,4,8,0.009375,0.009375,0.021875,0.0
identity,4,16,0.0125,0.0125,0.0171875,0.0
identity,8,1,0.0,0.0,0.0,0.0
identity,8,4,0.00625,0.00625,0.01875,0.0
identity,8,8,0.009375,0.009375,0.021875,0.0
identity,8,16,0.0125,0.0125,0.0171875,0.0
identity,12,1,0.0,0.0,0.0,0.0
identity,12,4,0.00625,0.00625,0.01875,0.0
identity,12,8,0.009375,0.009375,0.021875,0.0
identity,12,16,0.0125,0.0125,0.0171875,0.0
identity,16,1,0.0,0.0,0.0,0.0
identity,16,4,0.00625,0.00625,0.01875,0.0
identity,16,8,0.009375,0.009375,0.021875,0.0
identity,16,16,0.0125,0.0125,0.0171875,0.0
identity,20,1,0.0,0.0,0.0,0.0
identity,20,4,0.00625,0.00625,0.01875,0.0
identity,20,8,0.009375,0.009375,0.021875,0.0
identity,20,16,0.0125,0.0125,0.0171875,0.0
identity,24,1,0.0,0.0,0.0,0.0
identity,24,4,0.00625,0.00625,0.01875,0.0
identity,24,8,0.009375,0.009375,0.021875,0.0
identity,24,16,0.0125,0.0125,0.0171875,0.0
identity,28,1,0.0,0.0,0.0,0.0
identity,28,4,0.00625,0.00625,0.01875,0.0
identity,28,8,0.009375,0.009375,0.021875,0.0
identity,28,16,0.0125,0.0125,0.0171875,0.0
identity,32,1,0.0,0.0,0.0,0.0
identity,32,4,0.00625,0.00625,0.01875,0.0
identity,32,8,0.009375,0.009375,0.021875,0.0
identity,32,16,0.0125,0.0125,0.0171875,0.0
identity,34,1,0.0,0.0,0.0,0.0
identity,34,4,0.00625,0.00625,0.01875,0.0
identity,34,8,0.009375,0.009375,0.021875,0.0
identity,34,16,0.0125,0.0125,0.0171875,0.0
mlp,0,1,0.025,0.0,0.0,0.025
mlp,0,4,0.00625,0.00625,0.01875,0.0
mlp,0,8,0.00625,0.009375,0.021875,-0.0031249999999999993
mlp,0,16,0.0078125,0.0125,0.0171875,-0.004687500000000001
mlp,4,1,0.05,0.0,0.0,0.05
mlp,4,4,0.025,0.00625,0.01875,0.018750000000000003
mlp,4,8,0.015625,0.009375,0.021875,0.00625
mlp,4,16,0.0203125,0.0125,0.0171875,0.0078125
mlp,8,1,0.0,0.0,0.0,0.0
mlp,8,4,0.00625,0.00625,0.01875,0.0
mlp,8,8,0.003125,0.009375,0.021875,-0.0062499999999999995
mlp,8,16,0.009375,0.0125,0.0171875,-0.003125000000000001
mlp,12,1,0.025,0.0,0.0,0.025
mlp,12,4,0.025,0.00625,0.01875,0.018750000000000003
mlp,12,8,0.0125,0.009375,0.021875,0.003125000000000001
mlp,12,16,0.0109375,0.0125,0.0171875,-0.0015625000000000014
mlp,16,1,0.0,0.0,0.0,0.0
mlp,16,4,0.0125,0.00625,0.01875,0.00625
mlp,16,8,0.021875,0.009375,0.021875,0.012499999999999999
mlp,16,16,0.0171875,0.0125,0.0171875,0.004687500000000001
mlp,20,1,0.0,0.0,0.0,0.0
mlp,20,4,0.00625,0.00625,0.01875,0.0
mlp,20,8,0.00625,0.009375,0.021875,-0.0031249999999999993
mlp,20,16,0.0046875,0.0125,0.0171875,-0.0078125
mlp,24,1,0.05,0.0,0.0,0.05
mlp,24,4,0.025,0.00625,0.01875,0.018750000000000003
mlp,24,8,0.015625,0.009375,0.021875,0.00625
mlp,24,16,0.0109375,0.0125,0.0171875,-0.0015625000000000014
mlp,28,1,0.025,0.0,0.0,0.025
mlp,28,4,0.00625,0.00625,0.01875,0.0
mlp,28,8,0.00625,0.009375,0.021875,-0.0031249999999999993
mlp,28,16,0.0078125,0.0125,0.0171875,-0.004687500000000001
mlp,32,1,0.0,0.0,0.0,0.0
mlp,32,4,0.00625,0.00625,0.01875,0.0
mlp,32,8,0.00625,0.009375,0.021875,-0.0031249999999999993
mlp,32,16,0.009375,0.0125,0.0171875,-0.003125000000000001
mlp,34,1,0.0,0.0,0.0,0.0
mlp,34,4,0.00625,0.00625,0.01875,0.0
mlp,34,8,0.009375,0.009375,0.021875,0.0
mlp,34,16,0.0109375,0.0125,0.0171875,-0.0015625000000000014
oracle_full_state,0,1,0.0,0.0,0.0,0.0
oracle_full_state,0,4,0.0,0.00625,0.01875,-0.00625
oracle_full_state,0,8,0.00625,0.009375,0.021875,-0.0031249999999999993
oracle_full_state,0,16,0.0125,0.0125,0.0171875,0.0
oracle_full_state,4,1,0.025,0.0,0.0,0.025
oracle_full_state,4,4,0.01875,0.00625,0.01875,0.012499999999999999
oracle_full_state,4,8,0.021875,0.009375,0.021875,0.012499999999999999
oracle_full_state,4,16,0.0203125,0.0125,0.0171875,0.0078125
oracle_full_state,8,1,0.0,0.0,0.0,0.0
oracle_full_state,8,4,0.01875,0.00625,0.01875,0.012499999999999999
oracle_full_state,8,8,0.0125,0.009375,0.021875,0.003125000000000001
oracle_full_state,8,16,0.0140625,0.0125,0.0171875,0.0015624999999999997
oracle_full_state,12,1,0.075,0.0,0.0,0.075
oracle_full_state,12,4,0.03125,0.00625,0.01875,0.025
oracle_full_state,12,8,0.015625,0.009375,0.021875,0.00625
oracle_full_state,12,16,0.0140625,0.0125,0.0171875,0.0015624999999999997
oracle_full_state,16,1,0.0,0.0,0.0,0.0
oracle_full_state,16,4,0.0125,0.00625,0.01875,0.00625
oracle_full_state,16,8,0.021875,0.009375,0.021875,0.012499999999999999
oracle_full_state,16,16,0.0171875,0.0125,0.0171875,0.004687500000000001
oracle_full_state,20,1,0.0,0.0,0.0,0.0
oracle_full_state,20,4,0.00625,0.00625,0.01875,0.0
oracle_full_state,20,8,0.0125,0.009375,0.021875,0.003125000000000001
oracle_full_state,20,16,0.0125,0.0125,0.0171875,0.0
oracle_full_state,24,1,0.05,0.0,0.0,0.05
oracle_full_state,24,4,0.025,0.00625,0.01875,0.018750000000000003
oracle_full_state,24,8,0.021875,0.009375,0.021875,0.012499999999999999
oracle_full_state,24,16,0.0171875,0.0125,0.0171875,0.004687500000000001
oracle_full_state,28,1,0.1,0.0,0.0,0.1
oracle_full_state,28,4,0.0375,0.00625,0.01875,0.03125
oracle_full_state,28,8,0.021875,0.009375,0.021875,0.012499999999999999
oracle_full_state,28,16,0.0171875,0.0125,0.0171875,0.004687500000000001
oracle_full_state,32,1,0.0,0.0,0.0,0.0
oracle_full_state,32,4,0.00625,0.00625,0.01875,0.0
oracle_full_state,32,8,0.00625,0.009375,0.021875,-0.0031249999999999993
oracle_full_state,32,16,0.0109375,0.0125,0.0171875,-0.0015625000000000014
oracle_full_state,34,1,0.25,0.0,0.0,0.25
oracle_full_state,34,4,0.06875,0.00625,0.01875,0.0625
oracle_full_state,34,8,0.0375,0.009375,0.021875,0.028124999999999997
oracle_full_state,34,16,0.028125,0.0125,0.0171875,0.015625
oracle_group,34,1,0.25,0.0,0.0,0.25
oracle_group,34,4,0.06875,0.00625,0.01875,0.0625
oracle_group,34,8,0.0375,0.009375,0.021875,0.028124999999999997
oracle_group,34,16,0.028125,0.0125,0.0171875,0.015625
oracle_group,"33,34",1,0.1,0.0,0.0,0.1
oracle_group,"33,34",4,0.03125,0.00625,0.01875,0.025
oracle_group,"33,34",8,0.01875,0.009375,0.021875,0.009375
oracle_group,"33,34",16,0.0140625,0.0125,0.0171875,0.0015624999999999997
oracle_group,"31,32,33,34",1,0.0,0.0,0.0,0.0
oracle_group,"31,32,33,34",4,0.00625,0.00625,0.01875,0.0
oracle_group,"31,32,33,34",8,0.00625,0.009375,0.021875,-0.0031249999999999993
oracle_group,"31,32,33,34",16,0.00625,0.0125,0.0171875,-0.00625
oracle_group,"0,4,8,12,16,20,24,28,32,34",1,0.2,0.0,0.0,0.2
oracle_group,"0,4,8,12,16,20,24,28,32,34",4,0.08125,0.00625,0.01875,0.075
oracle_group,"0,4,8,12,16,20,24,28,32,34",8,0.046875,0.009375,0.021875,0.0375
oracle_group,"0,4,8,12,16,20,24,28,32,34",16,0.03125,0.0125,0.0171875,0.01875
